V2,Player,Round,Player.y,Member,Kept,Round
"Cam Newton, Car QB",CAM NEWTON,2,Cam Newton,AJ,,2
"Kelvin Benjamin, Car WR",KELVIN BENJAMIN,4,Kelvin Benjamin,AJ,,4
"Travis Kelce, KC TE",TRAVIS KELCE,4,Travis Kelce,AJ,,4
"Brandon Marshall, NYG WR",BRANDON MARSHALL,5,Brandon Marshall,AJ,1,-
"Allen Hurns, Jax WR",ALLEN HURNS,5,Allen Hurns,AJ,,5
"John Brown, Ari WR",JOHN BROWN,6,John Brown,AJ,,6
"Derrick Henry, Ten RB",DERRICK HENRY,7,Derrick Henry,AJ,,7
"James White, NE RB",JAMES WHITE,8,James White,AJ,,8
"Duke Johnson Jr., Cle RB",DUKE JOHNSON JR.,8,NA,AJ,,8
"Willie Snead, NO WR",WILLIE SNEAD,9,Willie Snead,AJ,,9
"Devontae Booker, Den RB",DEVONTAE BOOKER,10,NA,AJ,,10
Vikings D/ST D/ST,VIKINGS D/ST D/ST,10,NA,AJ,,10
"Stephen Gostkowski, NE K",STEPHEN GOSTKOWSKI,11,Stephen Gostkowski,AJ,,10
"Alfred Morris, Dal RB",ALFRED MORRIS,12,Alfred Morris,AJ,,10
"Ty Montgomery, GB WR, RB",TY MONTGOMERY,NA,NA,AJ,,10
"Josh Lambo, SD K",JOSH LAMBO,NA,NA,AJ,,10
"Odell Beckham Jr., NYG WR",ODELL BECKHAM JR.,1,NA,Burns,,1
"Julio Jones, Atl WR",JULIO JONES,1,Julio Jones,Burns,,1
"Brandin Cooks, NE WR",BRANDIN COOKS,2,NA,Burns,,2
"Lamar Miller, Hou RB",LAMAR MILLER,2,Lamar Miller,Burns,1,-
"Martellus Bennett, GB TE",MARTELLUS BENNETT,9,NA,Burns,,9
"DeVante Parker, Mia WR",DEVANTE PARKER,9,DeVante Parker,Burns,,9
"Matthew Stafford, Det QB",MATTHEW STAFFORD,13,Matthew Stafford,Burns,,10
"Tim Hightower, SF RB",TIM HIGHTOWER,15,Tim Hightower,Burns,,10
"Alfred Blue, Hou RB",ALFRED BLUE,NA,NA,Burns,,10
Steelers D/ST D/ST,STEELERS D/ST D/ST,10,NA,Burns,,10
"Dustin Hopkins, Wsh K",DUSTIN HOPKINS,NA,NA,Burns,,10
"Isaiah Crowell, Cle RB",ISAIAH CROWELL,12,Isaiah Crowell,Burns,,10
"Michael Thomas, NO WR",MICHAEL THOMAS,13,Michael Thomas,Burns,,10
"Mohamed Sanu, Atl WR",MOHAMED SANU,10,Mohamed Sanu,Burns,,10
"Brandon LaFell, Cin WR",BRANDON LAFELL,NA,NA,Burns,,10
