TeamName,PickRow,Round,Player,Position
AJ,7,1,Deandre Hopkins,WR
AJ,20,2,Cam Newton,QB
AJ,31,3,C.J. Anderson,RB
AJ,44,4,Travis Kelce,TE
AJ,55,5,Brandon Marshall,WR
AJ,68,6,John Brown,WR
AJ,79,7,Derrick Henry,RB
AJ,92,8,James White,RB
AJ,103,9,Willie Snead,WR
AJ,116,10,Devante Booker,RB
AJ,127,11,Stephen Gostkowski,K
AJ,140,12,Alfred Morris,RB
AJ,151,13,Josh Doctson,WR
AJ,175,15,Shaun Draughn,RB
AJ,188,16,Jordan Cameron,TE
AJ,186,16,Vikings D,D
Burns,3,1,Julio Jones,WR
Burns,4,1,Odell Beckham,WR
Burns,23,2,Brandon Cooks,WR
Burns,24,2,Lamar Miller,WR
Burns,99,9,Martellus Bennet,TE
Burns,120,10,Darren Sproles,RB
Burns,123,11,Sterling Shepard,WR
Burns,144,12,Isaiah Crowell,RB
Burns,147,13,Matthew Stafford,QB
Burns,148,13,Michael Thomas,WR
Burns,168,14,Deanre Washington,RB
Burns,167,14,Hunter Henry,TE
Burns,171,15,Dax Prescott,QB
Burns,172,15,Kenyon Drake,RB
Burns,191,16,Blair Walsh,K
Burns,192,16,Jets D,D
Ellery,6,1,Ezekiel Elliot,RB
Ellery,21,2,Julian Edelman,WR
Ellery,30,3,Amari Cooper,WR
Ellery,45,4,Jonathan Stewart,RB
Ellery,54,5,Desean Jackson,WR
Ellery,69,6,Danny Woodhead,RB
Ellery,78,7,Julius Thomas,TE
Ellery,93,8,Bilal Powell,RB
Ellery,102,9,Tavon Austin,WR
Ellery,117,10,Derek Carr,QB
Ellery,126,11,James Starks,RB
Ellery,141,12,Cinci D,D
Ellery,150,13,Jamais Winston,QB
Ellery,165,14,Jalen Strong,WR
Ellery,174,15,Jerrick Mckinnon,RB
Ellery,189,16,Matt Prater,K
Flem,10,1,Eddie Lacy,WR
Flem,17,2,Doug Martin,RB
Flem,34,3,Drew Brees,QB
Flem,41,4,Jordan Reed,TE
Flem,58,5,Jarvis Landry,WR
Flem,65,6,Arian Foster,RB
Flem,82,7,Josh Gordon,WR
Flem,89,8,Chris Ivory,RB
Flem,106,9,Michael Crabtree,WR
Flem,113,10,Mohamed Sanu,WR
Flem,130,11,Steve Smith,WR
Flem,137,12,Texans D,D
Flem,153,13,Tyrod Taylor,QB
Flem,154,13,Zach Miller,TE
Flem,161,14,Steven Hauschka,K
Flem,185,16,Kenjon Barner,RB
Hutch,13,1,Jordy Nelson,WR
Hutch,14,2,Mark Ingram,RB
Hutch,37,3,T.Y. Hilton,WR
Hutch,38,4,Andrew Luck,QB
Hutch,61,5,Matt Jones,RB
Hutch,62,6,Delanie Walker,TE
Hutch,85,7,Rashad Jennings,RB
Hutch,86,8,Larry Fitzgerald,WR
Hutch,109,9,Kevin White,WR
Hutch,110,10,Theo Riddick,RB
Hutch,133,11,Tyler Eifert,TE
Hutch,134,12,Carolina D,D
Hutch,157,13,Tyler Boyd,0
Hutch,158,14,Terrell Pryor,WR
Hutch,181,15,Tim Hightower,RB
Hutch,182,16,Adam Vinatieri,K
Joe,11,1,Rob Gronkowski,TE
Joe,16,2,Thomas Rawls,RB
Joe,35,3,Matt Forte,RB
Joe,40,4,Kelvin Benjamin,WR
Joe,59,5,Allen Hurns,WR
Joe,64,6,Allen Robinson,WR
Joe,83,7,Deangelo Williams,RB
Joe,88,8,Marcus Mariota,QB
Joe,107,9,Vincent Jackson,WR
Joe,112,10,Christine Michael,RB
Joe,131,11,Mike Wallace,WR
Joe,136,12,Cardinal D,D
Joe,155,13,Kirk Cousins,QB
Joe,160,14,Austin Sefarian-Jenkins,TE
Joe,179,15,Cairo Santos,K
Joe,184,16,Devante Adams,WR
Keith,9,1,Le'veon Bell,RB
Keith,18,2,Mike Evans,WR
Keith,33,3,Jeremy Hill,RB
Keith,42,4,Greg Olsen,TE
Keith,57,5,Russel Wilson,QB
Keith,66,6,Donte Moncrief,WR
Keith,81,7,Jay Ajayi,RB
Keith,90,8,Jordan Matthews,WR
Keith,105,9,Tevin Coleman,RB
Keith,114,10,Marvin Jones,WR
Keith,129,11,Charles Sims,RB
Keith,138,12,Chris Hogan,WR
Keith,162,14,C.J. Prosise,RB
Keith,164,14,Tajae Sharpe,WR
Keith,178,15,Chris Boswell,K
Keith,177,15,Packers D,D
Krowl,12,1,Dez Bryant,WR
Krowl,15,2,Lesean McCoy,RB
Krowl,36,3,Jamaal Charles,RB
Krowl,39,4,Jeremy Maclin,WR
Krowl,60,5,Golden Tate,WR
Krowl,63,6,Gary Barnidge,TE
Krowl,84,7,Philip Rivers,QB
Krowl,87,8,Duke Johnson,RB
Krowl,108,9,Spencer Ware,RB
Krowl,111,10,David Johnson,RB
Krowl,132,11,Travis Benjamin,WR
Krowl,135,12,Chris Johnson,RB
Krowl,156,13,Chiefs D,D
Krowl,159,14,Eli Manning,QB
Krowl,180,15,Laquon Treadwell,WR
Krowl,183,16,Dan Bailey,K
McGov,27,3,Aaron Rodgers,QB
McGov,28,3,Randall Cobb,WR
McGov,47,4,Doug Baldwin,WR
McGov,48,4,Ryan Mathews,RB
McGov,52,5,Demarco Murray,RB
McGov,51,5,Emmanuel Sanders,WR
McGov,72,6,Ameer Abdullah,RB
McGov,71,6,Antonio Gates,TE
McGov,75,7,Gio Bernard,RB
McGov,76,7,Torrey Smith,WR
McGov,95,8,Kamar Aiken,WR
McGov,96,8,Terrence West,RB
McGov,100,9,Stefon Diggs,WR
McGov,119,10,Eric Decker,WR
McGov,124,11,Denver D,D
McGov,143,12,Justin Tucker,K
Pete,2,1,Antonio Brown,WR
Pete,25,2,Keenan Allen,WR
Pete,26,3,Latavius Murray,WR
Pete,49,4,Carson Palmer,QB
Pete,50,5,Michael Floyd,WR
Pete,73,6,Tyler Lockett,WR
Pete,74,7,T.J. Yeldon,RB
Pete,97,8,Devonta Freeman,RB
Pete,98,9,William Fuller,RB
Pete,121,10,Devin Funchess,WR
Pete,122,11,Kenneth Dixon,RB
Pete,145,12,New England D,D
Pete,146,13,Dwayne Allen,TE
Pete,169,14,Anquan Boldin,WR
Pete,170,15,Chandler Catenzaro,K
Pete,193,16,Ladarius Green,TE
Shane,8,1,A.J. Green,WR
